date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-12-20,45188,2038,1593,31090,39416,67469,8169,70710,86213,37845,6951,9038,2689,139,1310,9794,5366,6911,7009,7620,554,407,231,25,0,89,26
2020-12-21,27693,82712,24393,73460,53088,62885,10085,82999,29197,8311,2847,27,4818,5298,3502,783,7437,4780,6517,9879,676,844,36,89,79,85,38
2020-12-22,81613,23662,44579,49780,16806,7002,62808,35975,61276,46471,9700,1461,8428,792,8252,2387,5785,3416,5379,2964,762,867,936,53,60,43,90
2020-12-23,80188,42915,70628,29295,21623,27580,11681,85576,77417,97548,6998,2307,6098,5898,1113,9485,397,5586,1548,5419,892,132,112,11,44,27,22
2020-12-24,79993,59755,48925,26497,71258,22866,95143,1462,19274,40992,806,8544,9405,4675,265,3694,8235,7043,9505,1229,914,798,789,64,49,62,24
2020-12-25,36287,56591,36172,15322,27712,52203,51451,37235,42452,12511,4935,7280,2276,8896,9714,1459,8993,8767,3355,49,350,249,86,61,54,23,49
2020-12-26,80287,96436,12301,64627,99998,15789,56798,51176,20943,91748,5098,8196,2664,2263,732,7173,7149,911,2174,7286,184,114,729,75,35,36,48
2020-12-27,85971,38070,13420,19315,58913,23797,93183,36666,13349,88594,2097,2008,9642,2051,935,9415,6497,7309,8407,2197,16,10,977,31,33,58,19
2020-12-28,7690,80623,21234,90127,30366,15559,13565,29155,15509,92958,8221,8441,9118,186,3314,6763,9311,74,8849,5364,965,752,403,70,6,44,84
2020-12-29,63111,97528,50982,14050,69821,74802,11417,26541,90281,10317,4779,8546,3565,9985,3429,3910,7187,6912,3702,5600,107,921,432,45,6,39,17
2020-12-30,57905,52634,59730,35303,49658,30386,70941,54982,51127,91459,4548,4468,9722,1979,8964,4076,5630,9597,9300,4492,933,491,325,12,77,35,86
2020-12-31,42050,71602,46241,14507,74322,38732,64804,78836,98669,54004,7045,7208,361,9902,1677,9524,7016,4746,3257,3405,30,710,607,11,8,0,69
2021-01-01,78885,61981,32168,74990,52955,93657,43037,39539,82586,22866,9925,5333,1426,9023,4289,6576,5377,7039,4487,1675,145,565,210,81,14,8,11
2021-01-02,20681,89427,32886,74910,46106,78936,81595,3204,82919,14732,6502,7613,7283,5855,3855,496,1430,4451,4778,9023,567,57,83,68,19,29,12
2021-01-03,43132,27110,95760,90752,95706,88054,51171,53041,78424,18868,9618,9587,840,372,4852,3728,60,4514,8855,5704,597,493,131,16,59,91,25
2021-01-04,42988,92795,19046,79580,87526,92979,11171,46875,96595,73614,7434,809,5921,5509,1512,3716,3814,4143,8088,9851,880,797,927,39,14,63,71
2021-01-05,19376,5036,43342,31276,86804,90617,49547,13368,7354,12554,4737,7623,5214,9688,265,9596,2704,3998,3885,2430,257,166,198,9,24,70,83
2021-01-06,90402,75947,74911,44677,73443,21480,97489,88629,59071,881,2510,4621,6853,2119,7445,3419,6129,6096,9127,9897,467,40,49,12,8,46,32
